Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.433357,1.427142,1.439950
Sequential,-1,1.429152,1.419267,1.442614
Sequential,-1,1.422321,1.408423,1.446344
Sequential,-1,1.422885,1.401839,1.447811
Sequential,-1,1.418506,1.377453,1.433673
Sequential,-1,1.419840,1.395118,1.432085
Sequential,-1,1.420696,1.413508,1.431323
Sequential,-1,1.422974,1.403191,1.429395
Sequential,-1,1.426288,1.407892,1.434167
Sequential,-1,1.423279,1.413109,1.436261
Sequential,-1,1.430927,1.398004,1.438996
Sequential,-1,1.434335,1.416852,1.442681
Sequential,-1,1.434310,1.398321,1.444557
Sequential,-1,1.427343,1.420164,1.441853
Sequential,-1,1.430643,1.420605,1.444516
Sequential,-1,1.430657,1.421774,1.438407
Sequential,-1,1.428822,1.417986,1.441568
Sequential,-1,1.426677,1.415454,1.432429
Sequential,-1,1.428772,1.400006,1.442072
