Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.091933,0.087604,0.121094
Naive,64,0.093067,0.087433,0.127154
Naive,128,0.092811,0.087664,0.127279
Naive,256,0.092645,0.087557,0.126559
Naive,512,0.092376,0.087458,0.125151
Naive,1024,0.092241,0.087459,0.125074
Transpose,32,0.072118,0.067158,0.106393
Transpose,64,0.070793,0.066141,0.101559
Transpose,128,0.071107,0.066619,0.101504
Transpose,256,0.071100,0.066778,0.100557
Transpose,512,0.071825,0.066392,0.106184
Transpose,1024,0.072327,0.066676,0.107026
Shmem,32,0.077143,0.072842,0.110200
Shmem,64,0.076789,0.072834,0.110128
Shmem,128,0.076656,0.072516,0.107289
Shmem,256,0.076487,0.072503,0.106189
Shmem,512,0.092686,0.072976,0.112396
Shmem,1024,0.090842,0.073461,0.108223
